frequency_THz_declared,omega_J_legacy,phdos_returned_in_legacy_states_per_THz
6.750000000000000444e-01,4.472597351250000265e-22,1.880336376829269099e-04
6.800000000000000488e-01,4.505727702000000239e-22,1.915867268292683397e-04
6.850000000000000533e-01,4.538858052750000213e-22,1.950941607317073349e-04
6.900000000000000577e-01,4.571988403500000187e-22,1.985560048780487987e-04
6.950000000000000622e-01,4.605118754250000161e-22,2.019722790243903409e-04
7.000000000000000666e-01,4.638249105000000135e-22,2.053429719367589538e-04
7.049999999999999600e-01,4.671379455749999169e-22,2.086677896888345870e-04
7.099999999999999645e-01,4.704509806499999143e-22,2.119469385321100404e-04
7.149999999999999689e-01,4.737640157249999117e-22,2.151806111653446340e-04
7.199999999999999734e-01,4.770770507999999091e-22,2.183685341230858011e-04
7.249999999999999778e-01,4.803900858749999066e-22,2.215109490543013589e-04
7.299999999999999822e-01,4.837031209499999980e-22,2.246077301439851890e-04
7.349999999999999867e-01,4.870161560249999954e-22,2.276589033557047418e-04
7.399999999999999911e-01,4.903291910999999928e-22,2.306644167734420647e-04
7.449999999999999956e-01,4.936422261749999902e-22,2.336243287980476109e-04
7.500000000000000000e-01,4.969552612499999876e-22,2.365386584389593116e-04
7.550000000000000044e-01,5.002682963249999851e-22,2.394074059182428593e-04
7.600000000000000089e-01,5.035813313999999825e-22,2.422304912585879438e-04
7.650000000000000133e-01,5.068943664749999799e-22,2.450079994508846774e-04
7.700000000000000178e-01,5.102074015499999773e-22,2.477398367681499084e-04
7.750000000000000222e-01,5.135204366249999747e-22,2.511309876754119048e-04
7.800000000000000266e-01,5.168334716999999721e-22,2.546998666870042773e-04
7.850000000000000311e-01,5.201465067749999695e-22,2.583205920073215625e-04
7.900000000000000355e-01,5.234595418499999669e-22,2.619930883465528080e-04
7.950000000000000400e-01,5.267725769249999643e-22,2.657174510067113107e-04
8.000000000000000444e-01,5.300856119999999617e-22,2.694935116979269669e-04
8.050000000000000488e-01,5.333986470749999591e-22,2.733217007321537607e-04
8.100000000000000533e-01,5.367116821499999566e-22,2.772016685475443961e-04
8.150000000000000577e-01,5.400247172249999540e-22,2.811333929225137869e-04
8.200000000000000622e-01,5.433377523000000454e-22,2.851169036598493953e-04
8.250000000000000666e-01,5.466507873750000428e-22,2.891521945088468943e-04
8.300000000000000711e-01,5.499638224500000402e-22,2.932392812979610960e-04
8.349999999999999645e-01,5.532768575249999436e-22,2.973781648566198896e-04
8.399999999999999689e-01,5.565898925999999410e-22,3.015688416759157008e-04
8.449999999999999734e-01,5.599029276749999384e-22,3.058109323780487383e-04
8.499999999999999778e-01,5.632159627499999358e-22,3.101051539913613560e-04
8.549999999999999822e-01,5.665289978249999332e-22,3.144510742073170916e-04
8.599999999999999867e-01,5.698420328999999307e-22,3.188488949549041240e-04
8.649999999999999911e-01,5.731550679749999281e-22,3.232984613414633702e-04
8.699999999999999956e-01,5.764681030499999255e-22,3.277997963732526450e-04
8.750000000000000000e-01,5.797811381249999229e-22,3.323529731707316136e-04
8.800000000000000044e-01,5.830941731999999203e-22,3.369578840853658754e-04
8.850000000000000089e-01,5.864072082749999177e-22,3.416145796951219416e-04
8.900000000000000133e-01,5.897202433500000092e-22,3.463231159146342255e-04
