lambda,time_zeta,r_patch,current,voltage_patch,voltage_port
1.0,2.208,0.04832986246480836,0.7849721136338262,0.03793759429063274,0.21502788636617376
1.0,2.21,0.04813692913884667,0.7853260746671374,0.037803185607140605,0.21467392533286256
1.0,2.212,0.04794476600477803,0.7856795965871451,0.03766922441309908,0.21432040341285485
1.0,2.214,0.047753369987988306,0.786032679378461,0.03753570936100943,0.213967320621539
1.0,2.216,0.04756273802613704,0.7863853230284162,0.03740263910679971,0.21361467697158376
1.0,2.218,0.04737286706910887,0.7867375275270495,0.037270012309818294,0.2132624724729505
1.0,2.22,0.04718375407896436,0.7870892928670945,0.03713782763282694,0.2129107071329055
1.0,2.222,0.046995396029891695,0.7874406190439679,0.03700608374199435,0.2125593809560321
1.0,2.224,0.046807789908158,0.787791506055757,0.036874779306889253,0.21220849394424302
1.0,2.226,0.04662093271206142,0.7881419539032078,0.03674391300047407,0.21185804609679215
1.0,2.228,0.04643482145188274,0.788491962589713,0.036613483499097925,0.211508037410287
1.0,2.23,0.04624945314983791,0.7888415321212995,0.036483489482490396,0.21115846787870052
1.0,2.232,0.04606482484003006,0.7891906625066168,0.036353929633754584,0.21080933749338315
1.0,2.234,0.04588093356840238,0.7895393537569252,0.03622480263936083,0.2104606462430748
1.0,2.236,0.045697776392690515,0.7898876058860831,0.03609610718913988,0.2101123941139169
1.0,2.238,0.045515350382375835,0.790235418910536,0.03596784197627659,0.20976458108946405
1.0,2.24,0.045333652618638205,0.7905827928493038,0.03584000569730315,0.20941720715069623
1.0,2.242,0.045152680194309604,0.7909297277239697,0.03571259705209277,0.20907027227603026
1.0,2.244,0.044972430213827304,0.7912762235586682,0.03558561474385302,0.20872377644133178
1.0,2.246,0.04479289979318785,0.7916222803800729,0.03545905747911946,0.20837771961992713
1.0,2.248,0.044614086059900616,0.7919678982173853,0.03533292396774904,0.20803210178261466
1.0,2.25,0.04443598615294211,0.792313077102323,0.035207212922913775,0.20768692289767698
1.0,2.2520000000000002,0.044258597222709965,0.7926578170691079,0.03508192306109416,0.20734218293089213
1.0,2.254,0.044081916430977586,0.7930021181544546,0.03495705310207289,0.20699788184554535
1.0,2.2560000000000002,0.04390594095084845,0.7933459803975593,0.03483260176892822,0.20665401960244068
1.0,2.258,0.04373066796671121,0.7936894038400876,0.03470856778802783,0.20631059615991243
1.0,2.2600000000000002,0.04355609467419431,0.7940323885261633,0.03458494988902221,0.2059676114738367
1.0,2.262,0.043382218280121405,0.794374934502357,0.03446174680483839,0.20562506549764303
1.0,2.2640000000000002,0.043209036002466415,0.7947170418176744,0.0343389572716735,0.20528295818232556
