t_s,Ib_A,Is_A,vc_V,Vload_V,Vnode_V,Vdev_V,Ucircuit_J,Vload_simple_V
1.390500000000000110e-08,2.000025765958063389e-05,2.120874327135693191e-05,5.790146199054867481e-05,-6.042428058881490121e-05,-2.522818598266226404e-06,0.000000000000000000e+00,2.024218361455906929e-16,2.202285662861180882e-18
1.391000000000000015e-08,2.000025739083484370e-05,2.120748252001391669e-05,5.784106922750563580e-05,-6.036125645895364930e-05,-2.520187231448013491e-06,0.000000000000000000e+00,2.024212138884744464e-16,2.202285662861180882e-18
1.391500000000000251e-08,2.000025712236936721e-05,2.120622308366804760e-05,5.778073945571881697e-05,-6.029829806493401960e-05,-2.517558609215202626e-06,0.000000000000000000e+00,2.024205926604172420e-16,2.202285662861180882e-18
1.392000000000000156e-08,2.000025685418390625e-05,2.120496496094774453e-05,5.772047260948666442e-05,-6.023540533819191377e-05,-2.514932728705249350e-06,0.000000000000000000e+00,2.024199724595533991e-16,2.202285662861180882e-18
1.392500000000000061e-08,2.000025658627816946e-05,2.120370815048286392e-05,5.766026862317616614e-05,-6.017257821023472302e-05,-2.512309587058556882e-06,0.000000000000000000e+00,2.024193532840207376e-16,2.202285662861180882e-18
1.392999999999999967e-08,2.000025631865186206e-05,2.120245265090468185e-05,5.760012743122273687e-05,-6.010981661264098937e-05,-2.509689181418252497e-06,0.000000000000000000e+00,2.024187351319607504e-16,2.202285662861180882e-18
1.393500000000000203e-08,2.000025605130469945e-05,2.120119846084591773e-05,5.754004896813020447e-05,-6.004712047706091377e-05,-2.507071508930709301e-06,0.000000000000000000e+00,2.024181180015187518e-16,2.202285662861180882e-18
1.394000000000000108e-08,2.000025578423638347e-05,2.119994557894070382e-05,5.748003316847069479e-05,-5.998448973521601740e-05,-2.504456566745322612e-06,0.000000000000000000e+00,2.024175018908431124e-16,2.202285662861180882e-18
1.394500000000000013e-08,2.000025551744663292e-05,2.119869400382460220e-05,5.742007996688458418e-05,-5.992192431889846395e-05,-2.501844352013879772e-06,0.000000000000000000e+00,2.024168867980863448e-16,2.202285662861180882e-18
1.395000000000000249e-08,2.000025525093514624e-05,2.119744373413459454e-05,5.736018929808043177e-05,-5.985942415997241492e-05,-2.499234861891983157e-06,0.000000000000000000e+00,2.024162727214040182e-16,2.202285662861180882e-18
