time,ue_0,ue_1,uph_0,uph_1,escape,total
1.550000000000000000e+01,5.003328422150975507e-01,3.683297572823095445e-01,2.116441644274309059e-02,6.811814522688447449e-03,2.036207247144443400e-01,1.100259555177282911e+00
1.562500000000000000e+01,4.997233695680782795e-01,3.687351248101489176e-01,2.099422856471923338e-02,6.835737515793114533e-03,2.039710947185432166e-01,1.100259555177282689e+00
1.575000000000000000e+01,4.991168188191078547e-01,3.691367447170846861e-01,2.082754359358332530e-02,6.859244436124036642e-03,2.043192036113829768e-01,1.100259555177282911e+00
1.587500000000000000e+01,4.985132354657768605e-01,3.695346457135865181e-01,2.066423723077786406e-02,6.882338095041741835e-03,2.046650986720998655e-01,1.100259555177282911e+00
1.600000000000000000e+01,4.979126613407852120e-01,3.699288564414808800e-01,2.050419068587325255e-02,6.905021384282061803e-03,2.050088253248615322e-01,1.100259555177282911e+00
1.612500000000000000e+01,4.973151347960360069e-01,3.703194054649949774e-01,2.034729042311072059e-02,6.927297270964969875e-03,2.053504272221761684e-01,1.100259555177282911e+00
1.625000000000000000e+01,4.967206908795031017e-01,3.707063212622625503e-01,2.019342791773134915e-02,6.949168792777793424e-03,2.056899463250081717e-01,1.100259555177282911e+00
1.637500000000000000e+01,4.961293615070614949e-01,3.710896322171078898e-01,2.004249941914202846e-02,6.970639053323107910e-03,2.060274229806483559e-01,1.100259555177282911e+00
1.650000000000000000e+01,4.955411756314721528e-01,3.714693666109336601e-01,1.989440571796977086e-02,6.991711217621732546e-03,2.063628959992855338e-01,1.100259555177282911e+00
1.662500000000000000e+01,4.949561594107098061e-01,3.718455526145294510e-01,1.974905191405533153e-02,7.012388507761104471e-03,2.066964027302270468e-01,1.100259555177282689e+00
1.675000000000000000e+01,4.943743363778239641e-01,3.722182182796265337e-01,1.960634718243753349e-02,7.032674198679443600e-03,2.070279791387154844e-01,1.100259555177282911e+00
1.687500000000000000e+01,4.937957275375817190e-01,3.725873915363899780e-01,1.946620463797316819e-02,7.052571614300610914e-03,2.073576598510374625e-01,1.100259555177282911e+00
1.700000000000000000e+01,4.932203514558677337e-01,3.729531001914332400e-01,1.932854120975261228e-02,7.072084123761479546e-03,2.076854781964677932e-01,1.100259555177282911e+00
1.712500000000000000e+01,4.926482244608672012e-01,3.733153719163584405e-01,1.919327736508510615e-02,7.091215137571800844e-03,2.080114662974003603e-01,1.100259555177282911e+00
1.725000000000000000e+01,4.920793607353484145e-01,3.736742342452551990e-01,1.906033698014964264e-02,7.109968104141182153e-03,2.083356551123884959e-01,1.100259555177283133e+00
1.737500000000000000e+01,4.915137724363631277e-01,3.740297145698393555e-01,1.892964717377640382e-02,7.128346506311918421e-03,2.086580744909920793e-01,1.100259555177282911e+00
1.750000000000000000e+01,4.909514698060151727e-01,3.743818401352033698e-01,1.880113815330979737e-02,7.146353858059792744e-03,2.089787532246949742e-01,1.100259555177283133e+00
