delta_over_Delta0,r_over_ell0,a_over_kBTc,q_delta_ell0,force_dimensionless,energy_excess_density,current_moment_dimensionless
0.05,6.034047915668319e-05,0.0001064331797561135,0.024136155184289864,-3.336430466173977e-05,6.407174826641836,0.0002948934978388171
0.05,6.0929590783268015e-05,0.00010747230016699847,0.02437179878115687,-3.364047769360667e-05,6.407174825675085,0.00029777257983760574
0.05,6.152445398016564e-05,0.00010852156564002847,0.024609742975227864,-3.39178867502554e-05,6.407174824689401,0.0003006797706727579
0.05,6.212512490067462e-05,0.00010958107522270877,0.02485001022691015,-3.419650099292369e-05,6.40717482368441,0.0003036153447743382
0.05,6.273166024632523e-05,0.00011065092892955775,0.025092623215876738,-3.447628802681646e-05,6.407174822659741,0.00030657957925170587
0.05,6.334411727223178e-05,0.00011173122775154788,0.025337604843206525,-3.4757213849494224e-05,6.407174821615,0.00030957275391967304
0.05,6.396255379249749e-05,0.0001128220736656391,0.025584978233545382,-3.5039242797712065e-05,6.407174820549807,0.00031259515132491845
0.05,6.458702818567168e-05,0.00011392356964440474,0.025834766737288205,-3.532233749266919e-05,6.407174819463752,0.00031564705677265825
0.05,6.521759940026116e-05,0.00011503581966575293,0.026086993932782618,-3.56064587836223e-05,6.407174818356434,0.0003187287583535806
0.05,6.585432696029396e-05,0.00011615892872274021,0.026341683628553533,-3.589156568981363e-05,6.4071748172274345,0.0003218405469710367
0.05,6.649727097093877e-05,0.0001172930028334837,0.02659885986555003,-3.617761534067077e-05,6.407174816076329,0.0003249827163685037
0.05,6.714649212417854e-05,0.00011843814905116845,0.026858546919413823,-3.646456291422273e-05,6.407174814902687,0.00032815556315731235
0.05,6.780205170453957e-05,0.00011959447547415306,0.027120769302769982,-3.675236157368741e-05,6.407174813706067,0.0003313593868446467
0.05,6.84640115948766e-05,0.00012076209125617363,0.02738555176753987,-3.7040962402174715e-05,6.407174812486024,0.0003345944898618157
0.05,6.913243428221472e-05,0.00012194110661664832,0.027652919307276928,-3.733031433545317e-05,6.407174811242097,0.0003378611775928041
0.05,6.980738286364727e-05,0.00012313163285108047,0.02792289715952477,-3.762036409272587e-05,6.407174809973819,0.0003411597584030964
0.05,7.048892105229253e-05,0.00012433378234156544,0.028195510808198727,-3.791105610535655e-05,6.407174808680717,0.00034449054366878786
0.05,7.117711318330789e-05,0.00012554766856739898,0.028470785985990458,-3.8202332443494355e-05,6.407174807362306,0.00034785384780597746
